ENS_ID,Endophyte_Name,Endophyte_Type,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,GenBank_ID,Closest_GenBank_ID
ENS00886,Streptomyces sp. strain DBT34,Endophytic Bacteria,1931,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,KJ584876,NA
ENS00887,Streptomyces sp. strain EA65,Endophytic Bacteria,1931,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,KY436438,NA
ENS00888,Streptomyces sp. strain EA67,Endophytic Bacteria,1931,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,KY436440,NA
ENS00889,Streptomyces sp. SUK 48,Endophytic Bacteria,2582831,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,NA,AJ391814
ENS00890,Streptomyces sp. TBRC7642,Endophytic Bacteria,1931,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,LC333557,NA
ENS00891,Streptomyces sp. WR1L1S8,Endophytic Bacteria,1931,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,NA,NA
ENS00892,Streptomyces sp. Y3111,Endophytic Bacteria,1433121,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,JQ724543,NA
ENS00893,Streptomyces sp. YIM 65408,Endophytic Bacteria,1931,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,NA,NA
ENS00894,Streptomyces sp. YIM 66017,Endophytic Bacteria,1931,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,AB184264,NA
ENS00895,Streptomyces sp. YIM 67005,Endophytic Bacteria,1931,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,NA,JQ806225
ENS00896,Streptomyces sp. YIM 67086,Endophytic Bacteria,1931,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,NA,NA
ENS00897,Streptomyces sundarbansensis strain WR1L1S8,Endophytic Bacteria,265730,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,KC773843,NA
ENS00898,Streptomyces tauricus lre541,Endophytic Bacteria,68274,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,MK138546,NA
