ENS_ID,Endophyte_Name,Endophyte_Type,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,GenBank_ID,Closest_GenBank_ID
ENS00994,Annulohypoxylon stygium,Endophytic Fungus,326628,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Annulohypoxylon,NA,NA
ENS00995,Alternaria alternata,Endophytic Fungus,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA
ENS00996,Aspergillus fumigatus AL2,Endophytic Fungus,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MN519723.1,NA
ENS00997,Aspergillus fumigatus,Endophytic Fungus,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA
ENS00998,Aspergillus fumigatus CY018,Endophytic Fungus,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KJ809565,NA
ENS00999,Aspergillus fumigatus isolate Cordyceps sinensis,Endophytic Fungus,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MG519287,NA
ENS01000,Aspergillus sp.,Endophytic Fungus,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA
ENS01001,Aspergillus terreus MF962867,Endophytic Fungus,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MF962867,NA
ENS01002,Aspergillus tubingensis DS37,Endophytic Fungus,5068,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MG495096,NA
ENS01003,Aspergillus versicolor AMBB,Endophytic Fungus,46472,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,LC431696,NA
ENS01004,Aspergillus versicolor voucher 2018100132,Endophytic Fungus,46472,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MN735436,NA
ENS01005,Aspergillus versicolor YATS1111,Endophytic Fungus,46472,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MT549144,NA
ENS01006,Bipolaris eleusines CBS274.91,Endophytic Fungus,91366,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,KJ909768.1,NA
ENS01007,Chaetomium globosum 30461,Endophytic Fungus,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,KP714386,NA
ENS01008,Sarcosomataceae sp. 45-1-8-1,Endophytic Fungus,1619272,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcosomataceae,No Rank at Level Genus,KP109690,NA
ENS01009,Cladosporium cladosporioides LC469120,Endophytic Fungus,29917,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,LC469120,NA
ENS01010,Colletotrichum gloeosporioides MF508974,Endophytic Fungus,474922,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,MF508974,NA
ENS01011,Fusarium solani EF626531,Endophytic Fungus,169388,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,EF626531,NA
ENS01012,Fusarium tricinctum SL71_69b_N1,Endophytic Fungus,61284,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,MN105538.1,NA
ENS01013,Fusarium tricinctum CYM,Endophytic Fungus,61284,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,MN216248,NA
ENS01014,Fusarium tricinctum JX119038,Endophytic Fungus,61284,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,JX119038,NA
ENS01015,Phomopsis fukushii YNCA0505,Endophytic Fungus,311452,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,KP068682,NA
ENS01016,Phyllosticta capitalensis HL10,Endophytic Fungus,121624,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,KX688178,NA
ENS01017,Talaromyces pinophilus XL-1193,Endophytic Fungus,128442,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,MK386669,NA
